,Strength_of_Schedule,Games_Missed,C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,O_Line,QB_Lost,Win_Loss
0,0.9469905548300788,-0.4449695297159004,1.4041750901817958,0.23481893243164034,-0.727296749846462,-0.5574113491021117,0.0739872625474282,-0.07210360285280894,1.3294251783522244,0.5980850189379491,-0.19303553431745207,-0.8146710093908138,-0.8383126269341347,-0.7204550919308326,0.12686958498863327,0.6889298645539921,-1.522925541876544,0.5738116043205451,-0.4257944024759988,0.15546869263105048,0.6559830266042107,-0.730520096285751,-0.9185275469387574,-0.11409352874950007,0.40004751986718673,0.0,-0.08263496336711869,0.39779318100110284,-0.26782449067609027,0.5316571665887034
1,1.8815281555619734,-0.14277097210135842,-1.171807323214678,-0.7677746578193707,-0.22250609035452662,-1.0643455168890155,-1.0694029842720236,0.9748805600166435,-1.0801198197169126,0.8573881136234006,-0.5584148285885291,0.43259629119646015,-1.3660763318940503,0.8858096061662957,-1.1617048424377963,-0.08480596551652651,0.9206120822890235,-1.5063287027871535,-0.7213441358432647,0.9151070306644898,-0.76212382845432,-0.3309119404419725,-0.2592270285642423,-0.11409352874950007,-0.842079754673538,0.0,-0.08263496336711869,-1.4960946526446608,-0.26782449067609027,-0.6286520592690813
2,1.3783156013217224,-0.4449695297159004,0.6930801085808295,-0.3787225655953483,0.04479598078575719,-0.3488435998503583,-0.6472628912365107,-0.7547838690439571,-1.1425844610239237,-0.09063525687747706,-0.5131513236688123,-0.29334150640517487,-0.34926368784520206,-0.4368865431659849,-1.1035471430359665,-1.459982810099737,2.2303334138874207,0.6741425506801064,-0.7213441358432647,-0.43446417825921463,-0.7344251631804182,0.0006583816241870167,0.19184337072359403,-0.11409352874950007,-0.3342834353361299,0.0,-0.08263496336711869,-0.1639571185438804,-0.26782449067609027,1.029689437048209
3,1.7377531400647588,-0.4449695297159004,-1.2055087993132207,-1.1859858718054543,-0.49059907420848814,1.2363556674654828,-0.05494712583885386,-1.0256123712148455,-0.10579020986484132,-0.6164751712515592,-0.5584148285885291,-1.0191836248184736,-1.051457550240285,-0.8875503654480268,-1.1093069828391022,0.007525233418840396,0.2502724532870479,-1.2588316135356925,-0.5426921015998729,-0.2873756047311983,-0.5326939455889244,-0.2760428317432802,0.6592127383794927,-0.11409352874950007,-0.4220558209314675,0.0,-0.08263496336711869,-2.2017743304293633,-0.26782449067609027,-0.2948644737483487
4,-0.8501971388851035,-0.14277097210135842,-0.6751556497325524,2.43536330894666,0.7207511208349381,-0.6147536903394667,1.1297334463985682,0.5830435964951954,-0.21526515287667425,-1.1122608215223997,-0.48966297643745826,-0.6001351741643377,-0.7476738203828892,0.4351367923009268,0.34480425693049277,0.01186508154159427,0.9264799727300871,-0.2412360972240086,1.027120136688083,3.5567752753815816,-0.5894204802197378,-1.008363585997866,-0.7171061451093713,-0.11409352874950007,-0.27356393371388527,0.0,-0.08263496336711869,-0.6000807410842179,-0.26782449067609027,0.6959018515274767
5,0.30000298509261314,-0.4449695297159004,-1.0095615958805992,-1.546055296022578,-0.4015535212684277,-0.3025962078800293,-0.025768868968316296,-0.27372301810761107,0.9119562057097413,-0.4315871505444049,-0.5584148285885291,0.5809683180472077,0.5080184213402891,-0.011709179065965648,-1.0722050514100623,-0.7466127792186795,-1.1602363278282706,-0.764841554614075,-0.39258405536271396,0.658986634113537,0.01731519357370358,-0.5542829097948875,-0.08109177852137545,-0.11409352874950007,2.7840677984465674,0.0,-0.08263496336711869,-0.5616677668083364,-0.26782449067609027,-0.6286520592690813
6,-0.2032095691476379,-0.4449695297159004,-1.0927700187707836,-1.6886410279140953,1.231833431754796,-0.6714631083532433,-0.8975613040622489,1.015819905079841,-1.4404532336738294,1.2662659736971655,1.0792597212705668,-1.5773133232076668,-1.2097443063323792,0.34299437201920563,-0.9690496281284847,-0.7778641721819082,-0.6038960529383589,-1.0892835705604103,-0.7213441358432647,-0.35260779199664544,-0.42235738196561634,0.46046155884964196,-1.4641400882495734,-0.11409352874950007,0.22063422428825508,0.0,-0.08263496336711869,-1.1234982743512196,-0.26782449067609027,-1.6194183845449068
7,-0.2032095691476379,-0.14277097210135842,-0.6703081411710821,-0.9097770657797113,-1.4320656689862932,-0.16109405931822043,0.7397631382022155,0.3978508701060187,-0.3744723200774215,-0.7190324655070289,-0.5584148285885291,-1.3106191332084822,0.1487181782981674,-0.29005287888353876,-0.2951377637217927,-1.2797562272404017,0.7132648709983943,-0.5219930486896511,0.9005293790028825,-1.0936447513325611,-0.7650287195122593,-0.1279831077821087,-1.2993794900068607,-0.11409352874950007,-0.24689556914056324,0.0,-0.08263496336711869,-0.3329988024771149,-0.26782449067609027,-1.9532059700656395
8,-0.9220846466337108,-0.4449695297159004,2.8262804700673225,-1.3928235209029403,1.2858065867797706,1.0798105617552327,-0.04901661430386778,-0.7073478607804268,-1.046192813251134,1.8498628461659603,0.540498912586713,-0.40881638888001787,-1.4096495904586879,-0.8669086462660549,-1.161452192508377,-1.0489542186546108,0.03548564965806286,0.6408312566508527,-0.339845003451331,0.7511976868352519,-0.44658725141908984,1.370139305689195,-0.020833550669013105,-0.11409352874950007,1.0157106037699806,0.0,-0.08263496336711869,0.14252167911334343,-0.26782449067609027,0.6959018515274767
9,0.2281154773440058,0.46162614312772554,-0.3268697472119407,-1.183910043195197,-0.9388076262566509,-0.36699925707074565,-1.3030763482229575,0.2930443018237868,1.783354458722656,-0.2510400613942859,-0.06894438457865654,1.9194772722013898,2.392232826328252,2.8576658005510582,-0.6336520252607938,-0.7718469278949159,-0.8923743992364601,-0.822215476486607,2.8642807178740015,-0.7018087962742537,-0.7143692710893769,0.6343240799969678,0.30912767414362935,-0.11409352874950007,-0.842079754673538,0.0,-0.08263496336711869,0.9016618972125963,-0.26782449067609027,0.812462595677574
