C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
6593784,10723145,18045364,16330802,3565000,7310934,11738865,4056500,141000,1170000,6092277,28392858,1400000,24395545,6379547,6235000,1548085,5150000,2221321,9738998,11432140,0,645000,0,0,carolina-panthers,2019
10185588,10166711,23882857,7591474,930000,14008041,3747634,771443,5679559,495000,12500000,19118663,2600000,23313000,5011584,5592599,4076662,0,1064668,11737237,22467258,0,0,0,0,tampa-bay-buccaneers,2019
13108762,19106980,24964130,17043435,4151523,13861074,5050482,3987304,607823,930667,7589200,3017804,3095351,17997667,9484109,6385248,1434946,4929352,573833,6521321,19597574,0,808334,0,0,atlanta-falcons,2019
3453663,17853178,16771707,9641596,4796643,21344000,9349910,1900000,958727,645000,16144515,10608000,4250000,29345000,4065399,3159969,1660394,3333914,1235629,9961114,16193999,0,1216000,0,0,new-orleans-saints,2019
1031481,25393081,9904991,15489954,2531309,11297410,6679211,3400000,1692418,735000,4131415,7166011,2356000,31990117,6289112,11984705,2186891,5704475,1555370,7199364,17434427,0,474757,0,0,detroit-lions,2019
1724247,33048150,2116243,16925303,3250000,9684541,10558423,4557500,4709456,815833,3979000,20075642,1650000,14278596,3737483,4853000,2961631,230000,59333,13901513,29746082,0,0,0,0,chicago-bears,2019
3166820,27534213,23318233,15082883,10750000,7190993,5766319,2194010,874113,623644,12435000,7121004,645000,30038334,3771437,3338250,1070974,3537647,155000,6194832,25257650,0,950599,0,0,minnesota-vikings,2019
8684789,14117295,8511728,3755095,6470000,11928035,2840849,4850000,899809,589335,14200000,31109346,624388,30382333,2729139,8947426,2995643,645000,3053930,16226218,17068239,0,1128000,0,0,green-bay-packers,2019
1486146,23174460,8038177,6643282,1333334,17005408,6545720,3225357,576721,1082500,3525880,18619871,2000000,29992952,8792810,8930000,2023438,5572316,1232602,17406021,13003598,0,417353,0,0,washington-commanders,2019
3737116,21758564,7184369,7048516,5834284,10776016,13468947,645000,1283013,940705,12000000,21183394,889168,30125051,8791118,3070000,2340952,0,471269,9995195,32417247,0,653000,0,0,new-york-giants,2019
13793939,13627829,26219224,16464507,1704972,16984497,5394978,633523,48332,735000,15545000,11926949,2300000,2980140,7457757,4266686,1499575,2700000,2636341,5739625,28008634,0,1700000,0,0,dallas-cowboys,2019
3490334,9746263,12928785,24321614,17293250,14625921,3152211,645000,1118724,720000,8666668,7732798,577500,16813979,6140376,7656911,1073279,1104117,3295229,8520232,20739208,0,0,0,0,philadelphia-eagles,2019
10711063,13678921,28729557,11900306,2000000,8779638,5360000,1186470,1412994,650000,16101250,7589034,553458,27064391,6577353,1685447,5234037,1000000,1109269,7100159,24921753,0,752422,0,0,los-angeles-chargers,2019
10615333,12017645,10308301,12539929,11299706,10916029,1971875,586667,196588,600000,0,8887386,550221,25843453,7621835,20080876,5842015,3871374,2169373,6794848,19834015,0,598333,0,0,las-vegas-raiders,2019
2887581,23330007,16164802,4015353,5001355,11111097,11001742,4000000,381225,1000000,3008700,33205597,903334,15967062,5085248,9978334,1468569,8053423,1083202,7824072,15651639,0,1107243,0,0,denver-broncos,2019
2444615,9288686,14178492,7443355,5933333,11144965,8420130,1345000,708000,930000,7036667,10420327,3206333,9443893,7469377,6430000,3605031,11700000,4719013,13077900,26826885,0,735000,0,0,kansas-city-chiefs,2019
7092352,29776922,25000452,17225895,6702920,19001049,7318560,2125000,1038837,520000,2649044,4617440,587905,28674436,10538074,1924077,725016,1082375,1964836,7202291,14772688,0,0,0,0,jacksonville-jaguars,2019
3721959,22846140,25494194,12636150,3884338,11933253,841330,3994137,1461325,1570000,11050000,3276315,3004000,31276909,3766269,2651362,2690159,3187500,307903,14401413,32105916,0,0,0,0,indianapolis-colts,2019
5847509,29486364,1892916,25321805,4049265,13111816,7524806,4273234,5816379,1268000,13288235,7913877,2950666,27094624,7761508,6666680,1855049,4750000,59333,8216988,17163308,0,773823,0,0,tennessee-titans,2019
9685525,29318398,20762463,5184332,1478128,15384047,9394816,3095000,37000,980000,4962728,25970827,969342,7999326,13165887,2656250,1047574,8542500,1081254,4269268,31601101,0,520790,0,0,houston-texans,2019
6881929,23520263,14747287,17886880,1200000,8090406,5710977,1841000,945393,1110000,9250000,4954391,2750000,17733931,8629676,6545000,2746509,4450000,3910240,12099056,29577013,0,375000,0,0,cincinnati-bengals,2019
10675027,22709959,29517196,12671177,11435470,17885950,11031100,604692,2061711,805000,7006666,5089019,498333,11913408,6676738,8818750,4038870,2550000,475362,8138993,37910438,0,240000,0,0,cleveland-browns,2019
8166353,21267244,12960946,18832319,2382171,18007706,13051660,4201666,1342393,720000,8390000,14047669,1525666,28227446,3017740,2373500,3786730,2833334,1763408,9084315,28735163,0,1687500,0,0,pittsburgh-steelers,2019
1314077,41840495,2618498,19193118,8750000,11771213,6144014,4698001,22235,1240667,10517744,5074744,3950000,20187818,4937491,5593430,1692149,15233177,152131,6838019,17279005,0,980501,0,0,baltimore-ravens,2019
4112424,26013411,10009123,18174255,12750941,7004944,634496,592800,1558886,660000,2460028,7417133,646334,25543230,3464184,2145000,3269234,17191250,2724533,5329709,23538399,0,517641,0,0,miami-dolphins,2019
9550500,23210334,24736219,8952994,3994465,15161044,26344691,999411,629935,770000,9500000,4078595,738951,9608001,13779598,3352743,488529,6805566,1736689,3075368,20279627,0,671643,0,0,new-york-jets,2019
15825000,7541804,26169108,21693046,5370000,7090983,2877169,5025333,2415675,850000,1140883,6152274,571000,9026074,8327191,8164994,1182589,7263750,529696,14872591,20565827,0,2150000,0,0,buffalo-bills,2019
5069333,19553590,9987791,6894838,19076667,9392010,20655674,3065262,214333,955000,2600433,4600724,667245,24450283,12387753,7336476,1177392,9234766,1515104,5538277,28963537,0,1652059,0,0,new-england-patriots,2019
2732879,18668866,19309046,7077064,15728787,9552785,2189890,3706670,0,883750,3465672,14753092,2627500,23024429,6279917,6552794,1667150,1552274,1282058,8696188,22519066,0,645200,0,0,arizona-cardinals,2018
9535000,12137858,11002193,12065002,9123077,9858814,11998307,2250000,0,1051176,10950000,12094329,753550,40718879,9096931,6048832,1863399,3807686,1919214,8279552,20259152,0,4500000,0,0,san-francisco-49ers,2018
6884844,13107804,12097212,10113630,11123001,4605591,14195400,2015000,591711,630000,8714250,11793720,1152537,25722117,5538712,2890787,1557645,14117348,900191,3770992,22990976,0,719411,0,0,seattle-seahawks,2018
8951533,21028903,14996097,27448857,11452883,8794707,18796356,3757500,0,1350000,9174166,4378903,2678551,8856911,9039986,3139185,1773518,902638,987391,2813254,19448229,0,107124,0,0,los-angeles-rams,2018
14375000,16510720,32186746,21692352,1781658,4316009,3224720,4583074,22800,630000,1931000,11797184,3000000,12635653,4547488,4803125,1447412,3521814,895652,10955665,35042814,0,0,0,0,tampa-bay-buccaneers,2018
13775666,11240047,17363793,26071236,4925000,10102216,10024321,3685716,0,1055000,7617354,8002680,1530000,22376917,9987942,6064844,1085314,4665000,2000,9426292,14746540,0,673899,0,0,carolina-panthers,2018
11310552,26311671,16566998,10685889,6894532,12123250,2344470,2525783,631168,1485883,9248647,1740689,2700000,22382533,7428192,6500000,602423,2568351,939253,3414438,24768478,0,481666,0,0,atlanta-falcons,2018
8498285,10165917,20784130,10387166,6018281,15039951,4914000,630000,282666,555000,10050000,11949331,2650000,27088800,9633432,3265514,74005,5933354,647439,13209696,13242557,0,1000000,0,0,new-orleans-saints,2018
899855,14481828,20405864,12127788,8813724,17267281,4110804,3200000,86933,745089,3005471,15413860,2925000,27441708,8935871,6605007,1492738,5389609,211941,5061959,16490185,0,384051,0,0,detroit-lions,2018
4971398,10905915,16511183,3335736,4304637,7728697,4695540,5250000,510400,499335,11075000,23337725,574781,22131170,2400903,8268750,1597116,962432,2266676,14464466,29648614,0,325894,0,0,green-bay-packers,2018
6878410,23023972,19888124,24680767,10880000,6352554,4247454,2078473,428399,925000,11400000,14375004,555000,26472000,8442178,761238,671056,4205000,1509489,10079693,18391611,0,363000,0,0,minnesota-vikings,2018
2811499,20552301,16669597,4482946,721449,11957291,9057579,3812500,3488685,630000,7100000,24299417,1500000,15513130,3069399,5650000,1462025,3131737,67467,15537137,27236962,0,710667,0,0,chicago-bears,2018
2388333,19432763,18829781,8815235,2921500,7197346,5941201,562600,481666,1015000,10000000,24459138,1645200,23628529,11105127,6049562,755215,2100838,819671,7279607,15451195,0,101275,0,0,new-york-giants,2018
2249110,22225831,8710982,8413730,7310567,9316140,6155973,1599285,0,1152205,16493005,18181240,1750000,22396117,7552478,5830588,1458323,2103499,1280466,16520273,12095524,0,0,0,0,washington-commanders,2018
7622800,6739879,26647196,20491980,5877000,10628571,4194158,555000,129200,805000,10666666,5597629,737500,21520049,5339979,4982206,450219,10083750,1858315,8652468,17977109,0,0,0,0,philadelphia-eagles,2018
7500000,9635350,30992972,8242485,1729677,10529955,3692442,1280000,2283342,720000,17545000,13379253,1700000,11079902,8033297,5758333,1518832,2657355,3163500,3132306,27778049,0,1640000,0,0,dallas-cowboys,2018
2782000,11698474,12438330,12939615,6921875,22858190,2274946,1201446,378988,1851764,2449331,11252956,684388,26170172,7371331,9142094,1369541,3871177,1686105,11846056,25862258,0,1819200,0,0,las-vegas-raiders,2018
4035873,25601000,15646790,5282667,805355,13539014,12731098,3500000,687300,630000,3771515,21928600,2081326,19147595,2122198,13926274,2404797,6763100,733867,3020780,22589770,0,671077,0,0,denver-broncos,2018
7246241,17609589,21187976,15023136,2720552,8487855,3327565,2068185,1397947,1070000,14968750,4084958,705515,23129200,4919855,6207947,3741935,5500000,368000,6984883,25874201,0,662420,0,0,los-angeles-chargers,2018
3148773,7950430,12071900,3546050,7873750,10043542,7562082,555000,1796384,830000,13950000,31905197,1700000,10062341,5807487,8475000,2016134,13788950,205200,13332255,18271370,0,2000000,0,0,kansas-city-chiefs,2018
9281250,27669296,25071109,32608198,9562146,9309440,2849972,828411,189837,1269706,2648859,9525188,747905,11116632,15944016,5622647,870709,5681523,1397579,7631964,17828036,0,879262,0,0,jacksonville-jaguars,2018
5480466,20869847,5966837,23769951,1008831,8855141,10661095,2950000,3937289,1268000,10821600,18465543,3863666,9907199,6890122,7894058,1818037,11548750,775361,12701187,12649091,0,296640,0,0,tennessee-titans,2018
3080221,5625805,14705486,10890769,3470616,9699260,1422801,3626333,447862,0,11636433,4441156,559000,25835743,4062628,2955117,1295242,2491482,893107,13798357,22357926,0,952500,0,0,indianapolis-colts,2018
6038286,21997917,19098681,1354857,10500000,13342993,12171435,557500,131700,965000,701605,21060939,1080666,4588700,9234719,4998750,1766774,9000000,694609,6401461,25402133,0,1000000,0,0,houston-texans,2018
3290198,24018809,20927703,18387264,1799602,7223026,8305000,1502901,170470,1130000,15572606,10557351,2300000,17867876,6558358,1274117,1710287,4179658,0,9274960,23801579,0,475000,0,0,cincinnati-bengals,2018
6750000,24784228,13573785,4850479,1775594,21168087,1743064,511112,423529,705000,3026666,20670677,2550000,25844848,7651868,6750000,1614992,2500690,682458,6828050,26732507,0,810530,0,0,cleveland-browns,2018
10680200,19274970,10019234,8668698,5896714,10038368,15131762,3228235,803191,726987,4095000,7341287,1907000,24907847,2196476,7913500,916159,5081718,2363713,5804425,13252132,0,1437500,0,0,pittsburgh-steelers,2018
1576132,27615692,1834224,8873679,8250000,11834741,12557835,5486999,564933,1140000,5586635,12170430,3550000,27572117,4902720,4946430,1175391,5694666,787237,7087172,17324597,0,0,0,0,baltimore-ravens,2018
8160735,28752913,21987867,4848622,5022679,14431250,8976522,1205000,673270,555000,9500000,7858866,648948,18014136,9328943,6245991,15200,5725272,685066,3851362,20308405,0,0,0,0,new-york-jets,2018
12447912,7808351,18991346,27820876,5575000,8820077,3525870,3000000,253010,555000,10550736,7147599,1505578,15290972,12954463,2926472,551504,9459388,593000,10401718,17367704,0,2050000,0,0,buffalo-bills,2018
8948824,5357926,38828769,14367781,2502000,9520640,5055054,502800,15333,645200,4712541,12454047,556333,10631594,4185414,9341000,3528683,6260000,558333,6070426,26216852,0,0,0,0,miami-dolphins,2018
3469331,16453843,8834496,10113767,15319375,5121828,15336769,5000000,0,860000,473000,4587032,2000000,23410508,8885252,9613250,261176,7789827,3443012,16057175,17128024,0,1675000,0,0,new-england-patriots,2018
1947941,6437204,12632469,10695791,5469549,9102901,12978254,1750000,0,1150000,11056250,13095385,663550,11789042,3623278,2890149,1019106,6926000,1301352,6565209,20074891,0,4196500,0,0,san-francisco-49ers,2017
2301554,20668057,2296622,9907265,8100000,12550311,10300202,2500000,0,866235,2657622,14221156,1412500,29428451,4303431,11399646,754260,6845985,575232,6213335,21992062,0,57600,0,0,arizona-cardinals,2017
2595680,22553447,20060441,12304383,11600000,9786860,10746587,1034375,0,540000,5280990,8591517,1600000,15449066,6680570,2478433,2218270,8858944,2590954,12719173,9649112,0,28800,0,0,seattle-seahawks,2017
1578825,23636749,1893800,17353045,3599928,7478938,17930615,1679706,0,875000,12616502,16324078,1421551,8855957,6764723,1989018,1082500,1299032,801024,3357011,25690454,0,658108,0,0,los-angeles-rams,2017
8404160,17131000,17658952,23220783,4715000,6057216,929105,2418006,0,665000,1655144,8751589,4000000,11758985,9056672,4300000,1107459,4625000,1706228,5744029,19718033,0,133767,0,0,tampa-bay-buccaneers,2017
8435670,16292343,20852931,17665456,2440374,8658339,3421040,3097734,687438,880000,6012202,1081645,2700000,27322000,6132627,2437329,1878876,2568125,817400,4000837,28241421,0,690000,0,0,atlanta-falcons,2017
8794000,7056655,15628807,20634999,5446661,8994832,13753888,4652930,0,1040000,3550000,14123874,2400000,23018617,11374779,4004280,518571,1896176,1386668,15955963,10402284,0,814327,0,0,carolina-panthers,2017
8719400,12037576,16671119,8606619,5236825,9605103,7838034,540000,0,0,7692177,8224988,4700000,20981584,11311268,7990174,0,7628795,402400,13503938,8355695,0,1671765,0,0,new-orleans-saints,2017
877980,19410809,14044563,2432112,673070,17708066,14842268,2486823,0,1305000,5823628,18779565,716327,23184872,2913400,6096192,1843508,4547524,2042606,10036710,17324945,0,632333,0,0,chicago-bears,2017
4004965,9619174,4085272,12935437,5156078,7980400,2048150,3600000,0,1368489,6677470,26579884,1088116,21452927,3172711,8419117,1792673,6981250,2013621,6939730,31722152,0,853787,0,0,green-bay-packers,2017
2566868,19544441,17659943,13326255,6394166,8499736,3508874,5225000,0,745178,3961854,12576924,3896932,17270492,5553764,6969705,1175977,3456338,3324268,5913660,19418466,0,92178,0,0,detroit-lions,2017
1819073,21475400,17536016,13903075,7610123,8187984,2379112,2425000,0,937353,8500000,8031517,775000,22548284,6121369,5266084,556056,3441470,1440684,8477965,12122216,0,0,0,0,minnesota-vikings,2017
2166884,28936243,26903927,13698250,2728602,15652577,2114414,715000,0,1300000,83788,12842822,1800000,21559105,6928117,3942911,904236,1090930,1091444,5095637,17330944,0,544083,0,0,new-york-giants,2017
3675182,29823224,8847124,7473413,3401147,11439052,8260535,881471,0,1052500,15653380,16812404,1500000,27621134,5146036,4236394,1373805,2281668,1026239,11839292,12463970,0,0,0,0,washington-commanders,2017
4531000,15194835,18157875,7697948,1921000,6304061,3800708,4180882,0,1220000,8820000,11866405,1550000,13452514,9318756,6615333,918089,584972,40001,16668412,26275460,0,690000,0,0,dallas-cowboys,2017
7712867,5542968,22461761,14890127,13981250,9635409,1293951,1487647,0,634500,7169901,14292312,1375000,19959669,8789812,9843750,1791510,21600,779123,9996166,20907613,0,0,0,0,philadelphia-eagles,2017
847112,24834717,14555198,4108256,7400000,12826398,8721238,2250000,0,541667,6520065,24336594,560002,3921966,6596511,3754638,753948,2401456,348249,5345149,25199868,0,581077,0,0,denver-broncos,2017
7130352,23064709,10819771,3443501,6000000,25313359,2554616,3875000,0,695000,7150000,9190770,2550000,17066663,3982288,3809211,2517254,2700981,1220076,7886378,21682538,0,1790000,0,0,las-vegas-raiders,2017
913356,13085991,6619129,16613906,2517500,11100052,5121534,949315,0,1055000,9525000,18804819,578456,19620000,5240479,7343875,1379010,4250000,1115334,8458674,22774813,0,572420,0,0,los-angeles-chargers,2017
1274475,9515292,14761358,9476963,10650000,8100303,6949958,2179941,0,725000,9502377,35962970,4900000,21421649,4429844,7775000,582028,1700000,288000,7555908,7988452,0,2039340,0,0,kansas-city-chiefs,2017
2559525,21301085,17765810,1412728,6685255,8561209,10132761,717500,0,950000,3965647,14589744,2000000,12959794,9346114,6028752,589071,3966801,643205,10797521,23146212,0,1709670,0,0,houston-texans,2017
2794067,18012659,2013655,17736184,3623482,2883419,5220554,2750000,0,0,13340000,19357451,2119000,22133124,7098179,1374629,3199548,668330,1134204,13252335,17563835,0,0,0,0,indianapolis-colts,2017
5200736,16762788,2815754,21371640,949132,3752889,9070167,2817335,0,1311290,3654319,23320646,3300000,10303971,9631251,5027567,154867,12212500,148286,7533733,21288027,0,625194,0,0,tennessee-titans,2017
11219413,14142627,18685498,27949717,8024862,3925899,665000,622197,0,1581471,1276029,12460410,1900000,10175406,14116898,8347200,968866,8690000,578545,10877400,14254886,0,830632,0,0,jacksonville-jaguars,2017
4154375,17900914,11488499,5414557,43200,25342967,9367822,487289,0,1465000,13750000,15640948,3150000,20018293,4502255,425529,3166223,988295,2092282,4930114,11701213,0,634277,0,0,cleveland-browns,2017
3680198,23105981,14307445,13571308,5421600,9739130,8439549,886053,0,1045000,3705053,10349894,3170000,16798413,7771421,550588,774710,4353444,69106,7177801,24499869,0,2275000,0,0,cincinnati-bengals,2017
5898895,21542180,1666300,7319919,6368261,11023710,6539081,3106666,0,1040000,9055529,13694403,3100000,26665200,6312541,3978235,508701,4051600,1788328,7619402,17512832,0,79200,0,0,baltimore-ravens,2017
11941667,11668993,14513363,1442984,11839482,14641666,7209760,2821000,0,652328,3462500,10091316,615000,21014781,13479772,8629324,0,1543856,777622,8335962,18083807,0,615000,0,0,pittsburgh-steelers,2017
3577250,23173158,27648162,4073251,3648598,15580146,5243101,1496668,0,545000,5500000,5726349,562282,13334183,10529177,5490000,373000,4679238,843791,3476571,9402395,0,0,0,0,new-york-jets,2017
9774282,13066371,22327542,21958435,9954089,5760639,5499470,690000,0,695000,7406284,8989663,466667,33190102,3761247,2681763,975918,3742938,1198845,9677725,10130703,0,0,0,0,miami-dolphins,2017
8524999,6899789,14277149,21410029,4075000,9382163,2578267,3140834,0,602500,14200000,5496606,1178800,11034644,11827363,2883147,390141,7770647,1286656,11430266,12323897,0,3855000,0,0,buffalo-bills,2017
1561650,16686371,5811636,8108892,12750000,2578397,6258439,4500000,0,685000,11166418,12462784,1900000,15360375,11090522,4493750,0,10712240,3255092,13091527,19865334,0,1375000,0,0,new-england-patriots,2017
1382549,7987633,9262363,6714899,3250869,6170183,13656253,3134000,0,970000,8320700,11662284,1073550,20263554,3228308,5319773,14633,8957883,961897,5487973,15672805,0,510074,0,0,san-francisco-49ers,2016
3461474,20846635,13749757,11218500,4705311,7583186,10901464,1250000,667,875000,6046179,11895020,2373773,16453311,6642641,1420412,1073270,718732,957606,8368108,17116604,0,2000000,0,0,los-angeles-rams,2016
841900,16873806,20344173,6149936,6395958,11877243,7424485,600500,0,635292,2419868,10618060,1373074,21116794,5174097,6233716,281500,5171000,293310,6226020,25805133,0,0,0,0,arizona-cardinals,2016
1424789,23122854,17684704,5369752,10550119,1134530,7019997,3525000,23034,651667,1000000,9468689,1600000,19024600,8524796,4450042,450000,7057940,1086154,12788153,13623827,0,720698,0,0,seattle-seahawks,2016
13383404,4766869,10563844,10586674,5060672,2634687,6881649,4035290,0,1025000,400000,11042245,2833667,22310000,13559363,9217280,0,1273823,463700,8343011,9370055,0,1480667,0,0,carolina-panthers,2016
4356240,13620354,7886771,7105363,10961764,12083397,5568327,536900,4000,890000,3831488,22658685,3050000,18827062,9541191,3700000,181546,5407153,735362,6274039,7962412,0,1106900,0,0,new-orleans-saints,2016
7002197,21657476,14254042,18452946,4016667,10297025,3787242,736830,5334,600000,1379286,12550806,1750000,8192029,10539218,9023868,239477,2558667,1025762,5310648,22178141,0,167437,0,0,tampa-bay-buccaneers,2016
4098039,6157028,18117386,8771832,3988396,13539859,3179833,3190233,0,860000,10984273,6338365,2726470,25628774,2257030,2771482,1238236,6152059,740562,5590051,26593495,0,897500,0,0,atlanta-falcons,2016
1032440,12559831,7539028,3637104,862154,21611723,12695274,1701000,0,528000,1907328,23391761,626327,20196519,2678761,6053308,1066789,1205000,24134,5790004,23217068,0,0,0,0,chicago-bears,2016
1483333,16544160,16359939,12035527,8812147,18133534,1901800,2112941,1000,775000,11526429,10177681,721048,12625308,14181942,2492661,472956,4531667,794566,10156377,9690870,0,1671000,0,0,minnesota-vikings,2016
794868,9186326,10103244,8913108,8851125,5917620,3757954,3180000,0,1038089,8609477,12675337,1215075,23620154,5624565,606668,938268,2803005,2035363,7852962,31283196,0,712265,0,0,detroit-lions,2016
1494227,14455110,18840545,8801635,4229607,8136433,1895106,2400000,0,600000,5070967,20410240,865000,20056468,5135916,6162500,900666,7989424,1481643,3923100,20560579,0,797859,0,0,green-bay-packers,2016
8501666,11828344,11134533,9584883,10848336,7926833,4921283,675000,0,1270410,9737500,16966666,2208668,16584900,14417721,7764329,1357520,53000,1107008,6482897,8551897,0,34500,0,0,philadelphia-eagles,2016
4393461,18747894,8661690,9295105,33907,10484052,4408220,600000,667,1215440,9506394,12398948,850000,22237333,2489909,1317442,866496,3725978,439410,8425078,26011802,0,6900,0,0,washington-commanders,2016
1846927,21674177,24525104,9371257,2535611,6810403,4893553,1929595,0,1134500,6100000,11071220,1975000,25595300,9776725,5834094,528150,854245,99700,3066347,13781321,0,1498000,0,0,new-york-giants,2016
2258312,20985471,11072145,3473426,3168851,6687125,5646006,3300000,0,1170000,6800000,11317167,1450000,24284386,9848730,5466098,477589,4769470,175423,9648242,20138482,0,600000,0,0,dallas-cowboys,2016
1704397,19065133,6069187,17213955,3968750,13074291,11525916,901666,0,897500,6243750,11147966,1088456,17180000,8703921,4563800,567300,2558667,812465,8307699,19392461,0,483087,0,0,los-angeles-chargers,2016
1782834,22496314,12124049,2989245,4677600,3328665,6488945,600000,0,1217597,11274081,22918404,1220002,7011158,8568470,954064,476588,6624469,122301,7146855,24734830,0,456657,0,0,denver-broncos,2016
7700000,19832100,8507129,9412409,9025282,15187487,5919587,3960000,0,1177500,6100000,21138812,5050000,4631343,2919848,8656612,1280433,2985785,95457,6090196,19403102,0,5262014,0,0,las-vegas-raiders,2016
1075862,6279818,11650952,6387671,14466778,9428313,8401606,1050667,15000,531667,6861536,24979492,4450000,20336235,8213239,4168750,46900,637500,69000,4923789,16203505,0,2333000,0,0,kansas-city-chiefs,2016
2118913,17573060,18069131,22685358,4712095,8828730,1460244,525000,0,675000,5375000,10649086,2150000,10864198,6370703,7628469,451666,2523139,610204,12671547,14517674,0,0,0,0,jacksonville-jaguars,2016
3075536,17515228,6492121,4229359,4537599,7054484,6593663,3250000,0,800000,10057310,19519544,2700000,20212049,5736457,6992329,1723612,2659375,451333,11263432,17618912,0,0,0,0,indianapolis-colts,2016
4197667,19877850,2957763,14038485,5080566,11523225,8168867,2467666,0,1068000,3132274,16506017,2700000,7730998,9610342,6226048,6666,6811474,118633,10982780,16597973,0,659429,0,0,tennessee-titans,2016
3915647,20765732,17570295,7065171,4626519,8938528,14132934,1130000,0,875000,12278363,14368283,1800000,14412646,10322865,6228066,434522,2450000,71000,2872230,7157027,0,646140,0,0,houston-texans,2016
710873,26517972,9304262,5555780,1849281,8855090,9053133,816737,0,525000,9500000,8832269,1700000,16050704,3226737,94905,1295781,5180602,2570868,4110912,13907557,0,563678,0,0,cleveland-browns,2016
1316448,21114165,13417174,17886772,5075334,13652270,10888947,1638909,0,1055880,11087545,4886388,3020000,14200413,7699481,1090000,465887,4792311,5000,3976411,18148577,0,978334,0,0,cincinnati-bengals,2016
5333006,23152695,3383958,4731289,6230418,6500527,9284063,3500000,0,940000,5972723,17084722,3100000,24164034,6247412,2312140,0,3890997,1263104,7685554,15432655,0,750146,0,0,baltimore-ravens,2016
12697334,11266715,12330321,2000091,5787566,8023000,20534883,1717411,0,680000,2187500,10562926,525000,25777805,5102708,4825607,0,1531373,829793,7434862,17080078,0,525000,0,0,pittsburgh-steelers,2016
9200000,29699735,18224792,6225012,2866100,6112125,11393147,3344999,180621,932500,10541600,3113019,470614,10107897,6081960,6830000,200580,5807346,563291,3014095,23130704,0,43162,0,0,new-york-jets,2016
5346903,16536554,16641572,22711354,6689473,7392430,3710817,2757942,0,1119600,6200000,4006534,603334,10292562,10628804,3289469,529146,7824411,300691,8210829,15933738,0,1614411,0,0,buffalo-bills,2016
10395131,17101647,23503932,17663894,4127706,4197600,1884473,561140,0,1215000,13235997,9794252,1295333,13381397,2834047,2550565,136870,8600000,42734,10775358,8090271,0,0,0,0,miami-dolphins,2016
725150,4875904,4501906,8349195,6859500,4546740,5493059,4100000,107919,587500,10322666,24273039,1700000,15245534,4604912,10200002,27600,5883734,846892,14556587,19034249,0,832800,0,0,new-england-patriots,2016
2012018,9742017,11423970,7356670,2641306,6610036,10775428,4134000,0,811668,7600000,11232656,983550,17315803,5246310,7226761,0,8414559,1666,7375717,13775955,0,2060369,0,0,san-francisco-49ers,2015
2397373,4564048,21497375,10268308,5266778,10827824,9593021,800071,39933,850000,7685078,20401076,2373773,8842459,5528479,1136094,0,627398,389323,14149774,11906038,0,1542667,0,0,los-angeles-rams,2015
4369253,20094908,18315533,10863092,8078373,3309752,3930104,3325000,20966,845833,7356254,9906052,1500000,8559535,10386391,546948,0,6117765,2000,10649742,17891906,0,1295192,0,0,seattle-seahawks,2015
3860000,22537974,22862428,6498553,3881306,15829310,10474683,510500,0,665000,2512440,3994879,1127500,11860495,2813367,10635784,0,588368,0,5456256,18599133,0,0,0,0,arizona-cardinals,2015
5889169,8923366,10978792,23997862,6625018,12639570,8621284,672058,58784,510000,4129829,8363107,435000,5965886,4707403,5225900,1284188,736385,0,4572583,18629013,0,602085,0,0,tampa-bay-buccaneers,2015
3066411,10765739,7981026,4775473,7837560,17160034,9057091,593087,20200,875000,1293535,13316617,3468823,25361919,6302704,3260000,0,3688701,22433,13069546,10312540,0,985588,0,0,new-orleans-saints,2015
3595930,5525254,13782793,8964557,435000,15188182,594961,3033553,0,760000,8393978,8012150,3355667,20583674,3448854,1258868,1283348,8196424,17954,2980931,25782820,0,1041167,0,0,atlanta-falcons,2015
11802600,5317774,24718721,6810637,2914392,5066321,7994843,3100000,0,1029411,1150000,9941383,680003,15429000,14331913,3647155,250000,5245000,112200,9180523,13082238,0,3426333,0,0,carolina-panthers,2015
1360979,12047586,14068855,4635960,1000611,14896130,2702157,3600500,0,1105029,1366180,20382074,570738,17837009,11809236,107688,0,7864116,4832,7529461,18623587,0,0,0,0,chicago-bears,2015
1239056,9032832,11918112,22938386,5344605,5614310,7728223,1484568,0,665000,2992927,5984690,625075,18680784,9172152,1036431,553794,3459671,386466,7766321,26106302,0,486089,0,0,detroit-lions,2015
1245227,11936074,17106229,7241173,3334338,14019153,2923575,3550000,0,1027426,811050,22258983,1340000,19943242,4085073,5110750,1334,8895777,666,3351625,12577743,0,1096599,0,0,green-bay-packers,2015
8107647,14852141,16213253,10327886,2808254,6870891,2379934,2239483,99500,885000,6623644,9643496,631048,5269861,16961617,8289996,0,2920916,50906,8960790,22298549,0,587667,0,0,minnesota-vikings,2015
4713676,25893869,12199431,2534431,1375263,3878435,5052738,2500000,112200,1121000,5592922,9620160,1001334,20033330,4321246,7689156,174036,3936300,20688,8398713,16795702,0,851868,0,0,dallas-cowboys,2015
5322689,17957555,19097382,3787206,1964526,8175391,6288459,1350000,74824,1363235,8106700,5403394,1410000,15247400,7418573,4627890,6668,2406763,46400,2233780,15211352,0,821235,0,0,new-york-giants,2015
