C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
9138954,31013319,18634765,16859147,5396220,10235408,13167466,2449000,7740568,1195112,11389568,15373371,1094167,13319648,9200230,5983808,2096999,1770000,3766675,6704222,34546958,0,2900000,0,0,miami-dolphins,2023
11739500,35885138,22478829,22601385,10783058,11844529,2071800,2076056,4763961,1082500,11985725,7437000,2177111,20179981,8915669,4054004,2755119,5222500,1116179,10965944,26473155,0,2028333,0,0,buffalo-bills,2023
12676798,11795968,24729416,3415583,0,14898566,15076629,4759943,1639752,1185522,13752438,12953351,1170667,16429425,7620490,3744821,20261263,0,1266501,8838375,28610156,0,0,0,0,arizona-cardinals,2022
2550086,33021697,12469514,32950398,1922010,7881727,4141584,2540000,825000,1004800,2833888,10247640,1903167,16649944,4836646,5886958,2941402,2894762,5375545,5781835,41611553,0,0,0,0,los-angeles-rams,2022
5346000,13949845,24074063,14347876,343754,12308776,8652415,5000000,1757568,2078174,8254588,10026765,4383059,31324221,12874311,1814805,2712333,17435000,823500,10307359,24627188,0,3354966,0,0,seattle-seahawks,2022
4660651,15501589,36764708,9772034,14897972,3960039,10179724,5520813,7435643,1120000,10597523,5829997,1706018,24397627,4996573,10880000,2633704,0,4864691,10698020,16706381,0,2958750,0,0,san-francisco-49ers,2022
3186255,13997231,9675707,17426748,1061729,6770502,17293937,3000000,955167,1200000,16589200,4032535,1529536,45998694,7005905,6462512,4393006,760000,252667,11942737,26516751,0,1666668,0,0,atlanta-falcons,2022
4572242,16543859,23391647,11185240,9988236,12358795,6466829,5570833,2050778,1260000,18933836,3649794,833833,21944240,11805352,9343766,1588691,3647500,2957888,10681419,27457267,0,595996,0,0,new-orleans-saints,2022
15615057,19297834,14629661,9418970,4096161,6338255,6760089,2884147,1438137,1080177,11522373,22051352,1791333,24446381,12101544,7976250,4978307,900000,2141566,5798310,26151480,0,831667,0,0,carolina-panthers,2022
5092357,17989709,9349410,15808990,0,14745749,24573559,4001667,2073950,1115000,18400000,12751012,875080,16262231,7694503,5473325,5449583,1047500,1096989,11988156,27172003,0,0,0,0,tampa-bay-buccaneers,2022
1364452,9061267,26775780,14817712,957400,18994436,2431250,3221200,11254333,1062900,4474888,29816585,724252,19833712,9753921,6722432,18541206,0,733133,10372386,11853660,0,1930000,0,0,chicago-bears,2022
1316879,20280425,9713014,14399095,7278000,17744553,7615515,5079612,1973653,705000,13420808,31499412,1625000,32117874,9163604,0,2708876,4898823,4422738,11423140,14461636,0,0,0,0,green-bay-packers,2022
9574764,17065852,24965534,11367841,0,10986033,2595164,1227252,5897172,825000,14400000,24811776,1245000,34502600,9139384,5477061,8377363,2778061,2363940,8660053,16629025,0,1535000,0,0,detroit-lions,2022
4369983,15629386,4641543,20123694,7407058,7859267,17014375,2436334,3099100,1035000,3033214,26873699,1426667,33732380,14941024,8644667,3047846,0,769868,8196284,21058970,0,3450000,0,0,minnesota-vikings,2022
8997752,26431004,19300044,21013963,3825000,14415822,3493721,2000000,2467977,857677,11170000,4551140,3076176,32604185,5436196,1505811,6934376,250000,1372168,9464215,28518720,0,382300,0,0,washington-commanders,2022
5904560,41235600,20151599,7067977,5575915,9609368,10465836,2917962,2788086,1047500,14008098,7881293,1385566,11483502,10576884,4463865,1860278,600433,1238537,5176175,37339801,0,888274,0,0,new-york-giants,2022
2306328,21157253,24064803,5145164,0,15226915,6800000,1369898,4469186,1767608,21825817,10641148,2200000,21101518,21324446,5832363,9279544,2000000,1943431,16124775,20551571,207000,0,0,0,dallas-cowboys,2022
10232795,19793509,27130027,53146897,7092600,14835250,3136153,2914000,757482,1460000,8358095,7493074,1228088,7254896,5640968,11786200,1029353,3611528,629933,10349368,21565365,0,0,0,0,philadelphia-eagles,2022
2046746,25791390,6839840,15988991,19382532,13411072,7105637,4231250,2650333,1318277,23500000,13116724,1308334,19294584,9806728,10577500,2635686,2000000,2118666,7082305,20018123,0,1231667,0,0,denver-broncos,2022
2803715,16041212,37979550,9049004,0,4303574,14620297,4234445,2019053,1035000,7495555,2741455,2000000,21399334,13897436,3195248,5807388,1968030,5700321,15362433,26513669,0,1500000,0,0,las-vegas-raiders,2022
13026666,22238885,7576162,10837436,0,10434047,8493322,2180999,3459592,1323334,4528927,38116618,1352003,10285475,11188013,5412603,13610296,0,1065003,7504451,38591394,904445,0,0,0,los-angeles-chargers,2022
1603120,8331553,21080281,35564337,3134139,13014351,7205933,3080857,2194643,1275000,16662000,3129616,897500,38835381,6483940,2259268,7111727,0,1958334,11772943,18606718,0,1047500,0,0,kansas-city-chiefs,2022
5467562,25806592,17514418,7760886,4988366,9185442,19512212,3042500,1903247,1047500,18780664,22722962,2200833,21684709,8196805,3889948,3015649,2191178,1368365,9026233,21947239,0,1413333,0,0,houston-texans,2022
10458333,22175381,22914566,29673185,3429509,17593518,13926779,1334798,2265355,1035000,2972500,4667249,3251500,22586357,7834372,11606800,3798500,0,2167328,10253243,11866944,0,0,0,0,indianapolis-colts,2022
4469166,16008937,17106794,3515435,7058000,9068728,9409575,2375475,1614468,1047500,15658971,25879788,2361667,39997910,13881547,2587783,7541662,0,2229950,7171398,20434122,0,374998,0,0,tennessee-titans,2022
1595845,35604903,12279394,22075120,0,12101295,25599876,2017833,1677943,1045134,9393970,19019653,2680000,11648881,5911057,3721077,14793674,974279,1837331,16952533,30303382,0,0,0,0,jacksonville-jaguars,2022
4777618,15805359,25168717,10056151,2035926,12841366,5115550,887410,1884598,1343555,6396626,4775600,1500000,28748262,13649322,11600000,2686667,7750000,4779056,10029309,14682891,0,0,0,0,cleveland-browns,2022
3647166,18849898,33737555,8022334,0,9095165,12642653,5410569,4655702,825000,999476,29745434,884984,20620289,5955675,4333333,14351702,480000,2134000,7080462,22473861,0,4713334,0,0,pittsburgh-steelers,2022
3301961,35707802,12663511,7252890,1500000,13066659,6632915,4758333,2026660,825000,15453250,11410514,1929459,24526895,9686475,6735085,9317996,4030833,3809940,17144192,10647150,0,2190000,0,0,baltimore-ravens,2022
